Distance,DriverScore,LoaderScore,AssemblerScore,0 to 7,8 to 20,21 to 23,Time
337.0174091,79.07142857,165.2142857,105.4285714,0,1,0,7
142.012054,18.42857143,217.2857143,187.0714286,0,1,0,4
640.1961134,36.64285714,1135.928571,677.5714286,1,0,0,13
760.7766593,58.5,88.71428571,175.2857143,1,0,0,20
351.6964639,80.35714286,47.57142857,104.9285714,1,0,0,11
113.5938781,85.5,2397.214286,2501.357143,1,0,0,4
614.2388525,110.5714286,35.35714286,19.28571429,0,0,1,18
65.54619421,102.8571429,2286,2299.5,1,0,0,3
97.3205843,68.14285714,102.8571429,93.21428571,1,0,0,3
129.7169117,87.42857143,2878,2874.785714,0,0,1,5
134.9875045,65.57142857,2285.5,2299,0,0,1,5
220.6097287,75.21428571,2284.5,2298,0,0,1,5
192.7592493,89.35714286,1067.785714,1092.857143,1,0,0,6
46.11204798,81.64285714,2877,2873.785714,1,0,0,3
227.5538326,12.85714286,84.85714286,50.14285714,1,0,0,5
99.50479038,87.57142857,2876.5,2873.285714,1,0,0,4
208.4010998,12.21428571,1067.285714,1092.357143,1,0,0,7
101.5350638,10.28571429,150.4285714,176.7857143,1,0,0,3
1765.679354,53.35714286,2283.5,2297,0,0,1,32
1171.518959,84.85714286,2282.5,2296,0,0,1,38
109.4146855,81,2282,2295.5,1,0,0,3
80.82443078,72,2875,2871.785714,1,0,0,3
65.08080888,102.3571429,2281.5,2295,1,0,0,3
101.2869472,74.57142857,2874,2870.785714,0,1,0,3
82.28791493,77.78571429,124.7142857,65.14285714,0,0,1,4
613.0965907,81,140.1428571,127.2857143,1,0,0,20
164.1070269,90,1134.428571,573.4285714,1,0,0,5
153.4439528,87.42857143,59.14285714,92.57142857,1,0,0,4
315.5049979,95.78571429,2396.214286,2500.357143,1,0,0,8
135.4565369,77.14285714,1066.785714,1091.857143,1,0,0,4
102.9587137,52.85714286,60.57142857,2294,0,0,1,3
402.8763109,75.85714286,2871,2867.785714,1,0,0,11
72.8633437,63.78571429,759.2142857,482.9285714,1,0,0,4
671.462457,85.5,2280.5,2293.5,1,0,0,13
168.2382282,57.85714286,306.9285714,250.8571429,1,0,0,4
877.0068422,66.21428571,2280,2293,1,0,0,25
124.8387218,39.85714286,58.64285714,92.07142857,0,0,1,6
450.0828952,73.92857143,166.5,176.2857143,1,0,0,15
550.8113529,64.28571429,106.0714286,104.1428571,1,0,0,15
118.4103192,71.35714286,14.78571429,34.71428571,1,0,0,4
98.99856146,50.14285714,76.64285714,31.5,1,0,0,4
57.67738435,94.5,2394.714286,2498.857143,1,0,0,3
411.3031899,89.5,1133.428571,572.9285714,1,0,0,8
697.535987,58.5,1132.928571,572.4285714,1,0,0,17
230.6830347,68.14285714,1066.285714,1091.357143,0,1,0,6
385.0074714,0.785714286,408.3571429,372.3571429,1,0,0,8
78.81303001,73.28571429,2394.214286,2498.357143,1,0,0,3
123.0171262,65.57142857,2870.5,2867.285714,1,0,0,5
493.9131441,95.78571429,156.2142857,130.5,1,0,0,11
857.7859075,87.07142857,2870,2866.785714,1,0,0,23
113.4695173,79.71428571,1065.785714,1090.857143,1,0,0,4
236.4746745,9.785714286,16.71428571,49.5,1,0,0,9
47.48252915,77.14285714,2869,2865.785714,1,0,0,3
74.70425779,86.14285714,2393.214286,2497.357143,0,0,1,3
210.6423703,65.07142857,2279,2292,1,0,0,5
217.052857,94.5,1065.285714,1090.357143,1,0,0,8
158.366261,74.57142857,407.3571429,371.3571429,1,0,0,5
170.611922,86.14285714,363.5,370.7142857,1,0,0,7
272.2966882,86.78571429,82.92857143,64.64285714,0,0,1,6
75.22449982,110.0714286,52.57142857,43.42857143,1,0,0,3
69.5704554,1.928571429,91.92857143,126.7857143,1,0,0,4
53.77604328,79.71428571,2867.5,2864.285714,1,0,0,3
97.32938886,89.35714286,1064.785714,1089.857143,1,0,0,3
153.8388516,30.21428571,1064.285714,1089.357143,1,0,0,4
1020.825215,63.64285714,2392.214286,2496.357143,1,0,0,33
156.3378964,95.78571429,2391.214286,2495.357143,1,0,0,5
1081.51821,88.71428571,2867,2863.785714,1,0,0,35
358.736051,72,2866.5,2863.285714,1,0,0,11
164.525004,91.28571429,2390.714286,2494.857143,1,0,0,4
110.4475195,85,2389.214286,2493.357143,1,0,0,3
723.9935261,54.64285714,215.2857143,186.0714286,1,0,0,22
141.2133295,67.64285714,84.35714286,92.71428571,1,0,0,5
359.112203,16.92857143,301.5,229.6428571,0,1,0,8
82.82599153,10.28571429,163.7142857,174.2857143,1,0,0,4
551.8971776,62.35714286,2865.5,2862.285714,1,0,0,15
193.0758865,70.71428571,2865,2861.785714,1,0,0,6
70.21852031,99,2388.714286,2492.857143,1,0,0,3
228.1770337,95.78571429,105.5714286,115.6428571,1,0,0,8
239.2849487,71.35714286,2278,2291,0,0,1,8
45.12015845,100.9285714,2388.214286,2492.357143,1,0,0,3
87.25668805,68.14285714,2387.714286,2491.857143,1,0,0,3
89.77044118,76.5,2387.214286,2491.357143,1,0,0,4
1146.596517,95.78571429,2386.714286,2490.857143,1,0,0,38
526.9299067,86.78571429,155.7142857,34.21428571,0,0,1,15
112.350615,92.57142857,2386.214286,2490.357143,1,0,0,4
287.5184727,75.21428571,52.07142857,33.42857143,1,0,0,7
60.17351734,91.28571429,2864,2860.785714,1,0,0,3
57.57417283,68.92857143,2863.5,2860.285714,1,0,0,3
98.39300276,96.42857143,91.28571429,2489.857143,0,0,1,5
78.29838948,89.35714286,2385.714286,2489.357143,1,0,0,4
118.6347085,50.14285714,1062.785714,1087.857143,1,0,0,4
192.3572081,86.14285714,2277,2290,0,0,1,6
76.74119369,81.64285714,2276.5,291.4285714,0,0,1,3
92.76595841,87.42857143,2385.214286,2488.857143,1,0,0,5
71.40456658,92.57142857,2861.5,2858.285714,1,0,0,3
103.4460759,71.35714286,2384.714286,2488.357143,1,0,0,3
66.63886512,81,328,180.6428571,1,0,0,3
239.9253835,76.64285714,2860.5,2857.285714,1,0,0,8
110.8752376,19.92857143,214.2857143,229.1428571,1,0,0,4
71.27147022,81.64285714,166,138.8571429,1,0,0,3
269.1393088,36.64285714,163.2142857,110.3571429,1,0,0,6
89.60479472,78.07142857,1129.928571,673.5714286,1,0,0,3
37.12611136,72,68.78571429,173.7857143,1,0,0,3
102.0297799,78.42857143,1128.928571,570.4285714,1,0,0,3
70.76219588,57.21428571,2383.714286,2487.357143,1,0,0,3
1115.367913,86.78571429,124.2142857,130,1,0,0,24
113.5385,84.21428571,1061.785714,1086.857143,1,0,0,4
113.8691813,97.07142857,327.5,211,0,1,0,5
252.039848,86.14285714,2274.5,2288.5,1,0,0,8
71.98591336,73.92857143,2383.214286,2486.857143,1,0,0,3
392.4993842,86.92857143,2860,2856.785714,1,0,0,10
1132.230259,12.35714286,83.85714286,49.64285714,1,0,0,37
131.1397041,97.21428571,58.14285714,91.57142857,1,0,0,4
169.6796901,75.21428571,1061.285714,1086.357143,1,0,0,6
109.4648339,88.85714286,1060.785714,1085.857143,1,0,0,5
91.84260983,1.428571429,91.42857143,64.92857143,1,0,0,4
62.88131691,88.85714286,2382.214286,2485.857143,1,0,0,3
234.7775329,11.85714286,83.35714286,23.78571429,1,0,0,6
182.4782301,56.71428571,2381.214286,2484.857143,1,0,0,5
1158.312846,57.35714286,125.5,213.0714286,1,0,0,21
78.29047879,83.71428571,1060.285714,1085.357143,1,0,0,3
612.1972332,4,21.35714286,126.2857143,1,0,0,18
211.9870009,86.92857143,2272.5,2286.5,0,0,1,5
109.1277509,66.35714286,279.9285714,271.7142857,1,0,0,4
72.07403583,98.5,2380.714286,2484.357143,1,0,0,3
226.1857644,69.71428571,125,250.3571429,0,1,0,8
95.52999201,79.21428571,2855,2851.785714,1,0,0,4
67.85071849,19.42857143,60.07142857,52.07142857,1,0,0,4
93.53736535,80.5,139.6428571,125.7857143,1,0,0,4
377.0834545,72.78571429,2271,2285,1,0,0,12
39.95467052,85.64285714,2270.5,2284.5,1,0,0,2
1127.303699,68.92857143,305.9285714,188,0,1,0,21
176.6996825,77.28571429,123.7142857,40.5,0,0,1,5
83.7318608,45.14285714,2270,2284,1,0,0,3
148.404902,90.78571429,2379.714286,2483.357143,1,0,0,4
126.5254338,85,2269.5,2283.5,0,0,1,4
93.67707286,76.64285714,1059.285714,1084.357143,1,0,0,4
191.7952913,70.85714286,2268.5,2282.5,1,0,0,6
89.84961576,79.35714286,162.7142857,173.2857143,1,0,0,3
130.0510707,109.5714286,101.8571429,42.71428571,1,0,0,4
868.2438353,55.42857143,2267.5,2281.5,1,0,0,21
112.5165559,84.85714286,1058.785714,1083.857143,1,0,0,4
106.3220511,30.85714286,1058.285714,1083.357143,1,0,0,5
68.78389016,49.64285714,1057.785714,1082.857143,1,0,0,3
122.3939951,71.5,67.78571429,79.85714286,1,0,0,5
83.14402346,101.8571429,2267,2281,1,0,0,3
80.5693409,9.285714286,16.21428571,49,1,0,0,4
797.1746373,77.57142857,1124.428571,568.4285714,0,1,0,15
1174.660605,72.78571429,754.2142857,485.8571429,1,0,0,39
59.42952706,97.21428571,2378.714286,2482.357143,1,0,0,3
150.4308253,73.42857143,2378.214286,2481.857143,1,0,0,5
