Store ID,ADDRESS,ADDRESS 2,CITY,WAREHOUSEID,STATE and PIN,Lat,Long
140024830,,10400 ROSECRANS ,BELLFLOWER,XXXXX,CA,35.6368759,120.6545022
140045667,,2121 SPG ST ,PASO ROBLES,XXXXX,CA,35.4488015,93.460406
140025497,,100 WATER ST BERTH 184 ,WILMINGTON,XXXXX,CA,36.808677,76.3109895
140017593,,110-8200 BLDG 21,RIDGECREST,XXXXX,CA,33.7857948,118.2643567
140034771,,1168 W BR ST ,ARROYO GRANDE,XXXXX,CA,35.6224561,117.6708966
140047078,,1346 S MSN RD ,FALLBROOK,XXXXX,CA,35.1289875,120.5975152
200015036,,1499 13TH ST BLDG 1264,IMPERIAL BEACH,XXXXX,CA,33.3683137,117.2497682
200055952,,2320 MERCURY AVE BLDG 251,EL SEGUNDO,XXXXX,CA,32.5691085,117.1054935
140026057,,3075 S ARCHIBALD AVE STE C ,ONTARIO,XXXXX,CA,34.0845356,118.2002001
140017685,,3925 MSN AVE ,OCEANSIDE,XXXXX,CA,,
140029726,,6126 RANGER RD ,SAN DIEGO,XXXXX,CA,33.2276023,117.3240018
140001737,,616 CM DE LOS MARES ,SAN CLEMENTE,XXXXX,CA,32.6833207,117.0664998
140003451,,7221 WOODMAN AVE # 25 ,VAN NUYS,XXXXX,CA,33.4589886,117.6536601
140003411,,8510 PAINTER AVE STE L ,WHITTIER,XXXXX,CA,,
140030670,,970 W FIRST ST ,SAN PEDRO,XXXXX,CA,,
100000579,,BLDG 6214 ,SAN DIEGO,XXXXX,CA,33.743812,118.298477
140027533,,F50 BLDG 3155,SAN DIEGO,XXXXX,CA,32.8833683,117.1199081
200101256,,MAIN STORE BLDG 16,POINT MUGU NAWC,XXXXX,CA,32.715738,117.1610838
140015191,,MARINE BASE Bldg 5400,TWENTYNINE PALMS,XXXXX,CA,34.121211,119.1023219
140023246,,MARINE EX AREA BLDG 33502,CAMP PENDLETON,XXXXX,CA,34.2332598,116.0554911
200465146,,SEASIDE EX BLDG 510092,CAMP PENDLETON,XXXXX,CA,33.3178416,117.3205123
200095152,,SW DECA BLDG 50,PORT HUENEME,XXXXX,CA,33.3178416,117.3205123
200808127,,VANDR/11TH ST BLDG 22196,CAMP PENDLETON,XXXXX,CA,34.1671773,119.1961237
100012688,, ,BURBANK,XXXXX,CA,33.4093242,93.0760337
100020707,, ,IRWINDALE,XXXXX,CA,34.1808392,118.3089661
100022727,, ,PLEASANTON,XXXXX,CA,34.1069527,117.9353413
100009733,,BLDG 14300 ,VANDENBERG AFB,XXXXX,CA,37.6604484,121.8757968
100009267,,BLDG 25608 ,BEALE AFB,XXXXX,CA,34.7420267,120.5724404
140034458,,BLD 476 BLD 476,MOFFETT FIELD,XXXXX,CA,57.79,152.4072221
200508455,,BLDG 520409 ,CAMP PENDLETON,XXXXX,CA,1.3591,3.945112
