Lat,Long,W4568d,W1010d,W4579d,W4584d,W4595d,W4621d,W4623d,W4642d,W4623d,W4643d,W1010_S,W4568_S,W4579_S,W4584_S,W4589_S,W4595_S,W4621_S,W4623_S,W4642_S,W4643_S,W1010y ,W4568y,W4579Y,W4584y,W4589y,W4595y,W4621y,W4623y,W4642y,W4643y
42.0147349,88.1483521,9.041481181,0.668142487,4.570062518,4.742474663,2.573450455,6.04324003,0.139771918,33.40763459,0.306589039,3.985333724,35,14,16,2,0,22,4,912,26,2,0,0,0,0,0,0,0,1,0,0
37.5356687,77.4327416,7.900258626,11.65495997,7.240934796,7.76177016,9.889213284,9.378225953,11.47995557,43.93417264,11.42595744,13.08274803,2,0,1,0,1,6,3,4,3,2,0,0,0,0,0,0,1,0,0,0
42.5926816,83.0683357,8.899652344,5.487259847,3.537572242,0.380730035,2.685397083,7.403049021,5.01572632,38.52037589,4.830701437,8.320978412,6,2,1,491,1,67,0,13,26,0,0,0,0,1,0,0,0,0,0,0
42.0045865,87.8183978,8.899996937,0.852202956,4.300843555,4.415179079,2.270954014,5.963196195,0.234532341,33.73456943,0.169704868,4.177287377,32,18,26,2,0,48,4,895,28,2,0,0,0,0,0,0,0,1,0,0
43.628231,111.771625,29.09536026,23.4510942,27.66025269,28.36803432,26.04647504,26.15725386,23.7928637,10.92530991,23.93665816,21.86160669,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
42.9973611,83.6935906,9.231988463,4.992455276,3.739311744,0.59422239,2.043437346,7.48511827,4.475982235,37.945937,4.268661575,7.978092295,6,2,1,493,1,107,1,12,29,0,0,0,0,1,0,0,0,0,0,0
41.778255,87.7822516,8.677378403,0.743100001,4.134907365,4.408833228,2.338446476,5.734096982,0.297226768,33.74702468,0.396709688,4.02831148,41,18,36,2,0,50,4,922,31,2,0,0,0,0,0,0,0,1,0,0
39.8281386,86.0260157,6.254403441,2.872723052,1.654674996,3.702915415,3.094081908,3.744853056,2.908500833,35.36191993,2.981150904,4.556834222,8,2,356,2,0,7,12,23,9,1,0,0,1,0,0,0,0,0,0,0
41.8590238,88.1392039,8.896239822,0.535312912,4.47296754,4.750745442,2.623197554,5.889906474,0.120443378,33.40019173,0.399392886,3.864957504,40,14,17,2,0,22,4,931,28,2,0,0,0,0,0,0,0,1,0,0
42.3849125,88.3437417,9.459412717,0.981366916,4.948882573,4.917006902,2.660675252,6.450127812,0.549804129,33.25585448,0.514321673,4.190533984,31,14,14,2,0,11,5,893,26,2,0,0,0,0,0,0,0,1,0,0
41.6348334,88.1995467,8.719648008,0.321207443,4.40171613,4.843999321,2.774126927,5.688233256,0.332913369,33.31758723,0.617177373,3.650397151,47,14,22,2,0,19,4,949,29,2,0,0,0,0,0,0,0,1,0,0
42.4656831,82.8956036,8.801746929,5.630780893,3.494139317,0.531801558,2.873815032,7.380432159,5.172211657,38.67848852,4.9934614,8.418164355,6,2,1,491,1,54,0,13,25,0,0,0,0,1,0,0,0,0,0,0
41.8631695,87.8140031,8.767948701,0.763275299,4.210996557,4.427839202,2.326929408,5.823478116,0.234479276,33.72407629,0.306752244,4.071499509,39,18,34,2,0,49,4,912,30,2,0,0,0,0,0,0,0,1,0,0
40.4609578,88.098853,7.631462199,1.00099412,3.821937727,5.083600573,3.40262802,4.533953297,1.467081793,33.32426541,1.715840516,2.904160893,55,14,51,2,0,10,6,889,29,2,1,0,0,0,0,0,0,0,0,0
44.7252202,85.6374456,11.00457259,4.334332836,5.520520325,3.160369251,1.819329399,8.64588342,3.688033003,36.27882812,3.40508851,7.664114931,2,0,0,6,0,124,1,5,11,0,0,0,0,0,0,1,0,0,0,0
40.7997837,89.6113294,8.739664396,1.331840936,5.368482695,6.404491289,4.412700961,5.48565044,1.934005902,31.83871862,2.203560671,2.202294518,39,3,3,0,0,2,2,265,4,7,0,0,0,0,0,0,0,1,0,0
41.852461,71.4019859,15.28568213,17.02980433,13.28541683,12.04106512,14.3719615,16.33468266,16.63785118,50.07657471,16.48080433,19.30373402,3,0,2,1,0,1,0,6,5,1,0,0,1,0,0,0,0,0,0,0
